 -0.2948
  0.2312  0.3029  0.3644  0.4150  0.4523  0.4782  0.4942  0.5025  0.5045  0.5012
  0.4935  0.4825  0.4696  0.4561  0.4424  0.4054  0.3705  0.3492  0.3274  0.2975
  0.2599  0.2151  0.1642  0.1085  0.0500 -0.0091 -0.0681 -0.1264 -0.1843 -0.2422
 -0.2983
  0.2786  0.3458  0.3959  0.4377  0.4703  0.4924  0.5054  0.5114  0.5123  0.5095
  0.5038  0.4958  0.4859  0.4750  0.4636  0.4571  0.4012  0.3601  0.3356
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  z      sdss    
 -0.6424 -0.6403 -0.6299 -0.6018 -0.5211 -0.3937 -0.2353 -0.0587  0.1073  0.1976
  0.2397  0.2642  0.2849  0.3058  0.3266  0.3714  0.3992  0.4102  0.4028
 -0.4449 -0.4374 -0.4287 -0.4094 -0.3689 -0.2959 -0.1782 -0.0146  0.1237  0.2043
  0.2428  0.2638  0.2810  0.2990  0.3178  0.3583  0.3823  0.3896  0.3809  0.3579
 -0.2719 -0.2544 -0.2430 -0.2295 -0.2051 -0.1600 -0.0837  0.0320  0.1429  0.2146
  0.2508  0.2689  0.2823  0.2968  0.3129  0.3495  0.3704  0.3748  0.3637  0.3397
  0.3058
 -0.1327 -0.1006 -0.0808 -0.0671 -0.0522 -0.0278  0.0150  0.0876  0.1701  0.2308
  0.2635  0.2789  0.2884  0.2986  0.3114  0.3436  0.3619  0.3640  0.3512  0.3263
  0.2922  0.2515
 -0.0307  0.0172  0.0500  0.0709  0.0849  0.0982  0.1181  0.1551  0.2083  0.2544
  0.2817  0.2937  0.2992  0.3047  0.3133  0.3399  0.3558  0.3561  0.3420  0.3163
  0.2820  0.2411  0.1958  0.1484
  0.0635  0.1137  0.1515  0.1798  0.1991  0.2112  0.2200  0.2329  0.2585  0.2872
  0.3062  0.3138  0.3149  0.3155  0.3191  0.3385  0.3518  0.3506  0.3355  0.3091
  0.2744  0.2333  0.1874  0.1386  0.0879  0.0356 -0.0187 -0.0761 -0.1354 -0.1926
  0.1166  0.1914  0.2464  0.2830  0.3043  0.3148  0.3184  0.3172  0.3200  0.3297
  0.3379  0.3395  0.3360  0.3314  0.3295  0.3396  0.3499  0.3470  0.3312  0.3043
  0.2692  0.2277  0.1812  0.1312  0.0793  0.0262 -0.0284 -0.0844 -0.1432 -0.2038
 -0.2628
  0.1330  0.2171  0.2862  0.3395  0.3774  0.4013  0.4129  0.4127  0.4023  0.3908
  0.3812  0.3720  0.3624  0.3528  0.3453  0.3440  0.3502  0.3456  0.3288  0.3017
  0.2661  0.2241  0.1770  0.1259  0.0728  0.0184 -0.0370 -0.0931 -0.1508 -0.2107
 -0.2727
  0.1436  0.2303  0.3029  0.3618  0.4072  0.4395  0.4598  0.4692  0.4683  0.4585
  0.4434  0.4241  0.4031  0.3837  0.3685  0.3526  0.3531  0.3464  0.3284  0.3007
  0.2646  0.2219  0.1740  0.1219  0.0672  0.0115 -0.0451 -0.1027 -0.1611 -0.2203
 -0.2800
  0.1517  0.2398  0.3133  0.3733  0.4204  0.4554  0.4792  0.4929  0.4972  0.4932
  0.4829  0.4680  0.4498  0.4297  0.4091  0.3702  0.3590  0.3498  0.3306  0.3023
  0.2661  0.2230  0.1744  0.1214  0.0655  0.0082 -0.0496 -0.1076 -0.1659 -0.2250
 -0.2848
  0.1665  0.2510  0.3241  0.3837  0.4304  0.4651  0.4891  0.5039  0.5106  0.5100
  0.5034  0.4923  0.4782  0.4629  0.4468  0.4052  0.3726  0.3561  0.3353  0.3062
  0.2698  0.2264  0.1774  0.1238  0.0668  0.0080 -0.0515 -0.1108 -0.1700 -0.2294
 -0.2871
  0.2000  0.2749  0.3415  0.3978  0.4430  0.4761  0.4988  0.5126  0.5192  0.5200
  0.5159  0.5077  0.4967  0.4841  0.4816  0.4576  0.3939  0.3653  0.3425
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  z      sdss    
 -0.8243 -0.8435 -0.8601 -0.8489 -0.7849 -0.6483 -0.4231 -0.1355  0.0789  0.2015
  0.2580  0.2847  0.3025  0.3192  0.3364  0.3754  0.4013  0.4113  0.4048
 -0.6204 -0.6365 -0.6414 -0.6322 -0.5914 -0.5014 -0.3434 -0.1150  0.0828  0.2019
  0.2586  0.2843  0.2997  0.3138  0.3290  0.3646  0.3868  0.3937  0.3859  0.3649
 -0.4307 -0.4328 -0.4369 -0.4329 -0.4094 -0.3527 -0.2478 -0.0818  0.0876  0.2028
  0.2620  0.2883  0.3019  0.3132  0.3257  0.3574  0.3771  0.3814  0.3711  0.3483
  0.3160
 -0.2682 -0.2542 -0.2494 -0.2458 -0.2338 -0.2027 -0.1406 -0.0321  0.1013  0.2070
  0.2677  0.2956  0.3081  0.3164  0.3257  0.3526  0.3701  0.3725  0.3604  0.3363
  0.3034  0.2639
 -0.1410 -0.1080 -0.0890 -0.0789 -0.0703 -0.0548 -0.0229  0.0380  0.1302  0.2185
  0.2768  0.3057  0.3175  0.3233  0.3291  0.3499  0.3649  0.3658  0.3525  0.3276
  0.2941  0.2543  0.2096  0.1624
 -0.0273  0.0019  0.0359  0.0584  0.0724  0.0832  0.0979  0.1260  0.1779  0.2416
  0.2915  0.3191  0.3302  0.3336  0.3359  0.3493  0.3615  0.3608  0.3468  0.3213
  0.2873  0.2471  0.2020  0.1534  0.1025  0.0494 -0.0063 -0.0648 -0.1249 -0.1829
  0.0559  0.1114  0.1471  0.1712  0.1895  0.2031  0.2129  0.2230  0.2436  0.2791
  0.3146  0.3373  0.3464  0.3476  0.3465  0.3513  0.3597  0.3575  0.3428  0.3170
  0.2826  0.2420  0.1965  0.1471  0.0951  0.0414 -0.0140 -0.0717 -0.1320 -0.1935
 -0.2531
  0.0919  0.1696  0.2303  0.2735  0.3015  0.3177  0.3256  0.3279  0.3272  0.3348
  0.3498  0.3624  0.3672  0.3655  0.3610  0.3564  0.3601  0.3561  0.3404  0.3144
  0.2797  0.2386  0.1927  0.1426  0.0896  0.0348 -0.0214 -0.0788 -0.1381 -0.1996
 -0.2624
  0.1074  0.1919  0.2630  0.3201  0.3632  0.3933  0.4127  0.4227  0.4236  0.4174
  0.4114  0.4053  0.3979  0.3894  0.3804  0.3654  0.3631  0.3566  0.3396  0.3130
  0.2780  0.2364  0.1898  0.1391  0.0851  0.0292 -0.0282 -0.0864 -0.1457 -0.2065
 -0.2690
  0.1167  0.2044  0.2787  0.3406  0.3902  0.4278  0.4542  0.4708  0.4789  0.4788
  0.4722  0.4616  0.4472  0.4300  0.4125  0.3799  0.3689  0.3595  0.3412  0.3140
  0.2788  0.2369  0.1898  0.1385  0.0839  0.0269 -0.0314 -0.0905 -0.1503 -0.2116
 -0.2720
  0.1244  0.2135  0.2901  0.3538  0.4053  0.4453  0.4746  0.4943  0.5053  0.5086
  0.5053  0.4967  0.4844  0.4693  0.4524  0.4090  0.3797  0.3652  0.3451  0.3170
  0.2816  0.2395  0.1920  0.1403  0.0850  0.0272 -0.0323 -0.0925 -0.1530 -0.2139
 -0.2715
  0.1419  0.2260  0.3014  0.3660  0.4177  0.4580  0.4875  0.5078  0.5198  0.5248
  0.5236  0.5171  0.5069  0.4942  0.5001  0.4527  0.3955  0.3737  0.3513
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  z      sdss    
 -0.9742 -1.0162 -1.0327 -1.0041 -0.9231 -0.7678 -0.5267 -0.1878  0.0478  0.1999
  0.2753  0.3078  0.3245  0.3376  0.3508  0.3834  0.4062  0.4150  0.4088
 -0.7703 -0.8074 -0.8371 -0.8453 -0.8130 -0.7127 -0.5109 -0.2114  0.0355  0.1935
  0.2728  0.3068  0.3224  0.3333  0.3446  0.3740  0.3942  0.4004  0.3930  0.3733
 -0.5721 -0.5979 -0.6226 -0.6345 -0.6189 -0.5568 -0.4251 -0.2067  0.0228  0.1839
  0.2706  0.3090  0.3251  0.3340  0.3428  0.3681  0.3862  0.3904  0.3807  0.3590
  0.3277
 -0.3935 -0.4025 -0.4176 -0.4293 -0.4258 -0.3928 -0.3141 -0.1689  0.0186  0.1743
  0.2681  0.3126  0.3307  0.3384  0.3444  0.3644  0.3803  0.3831  0.3719  0.3487
  0.3166  0.2778
 -0.2453 -0.2333 -0.2334 -0.2386 -0.2397 -0.2258 -0.1845 -0.0998  0.0338  0.1707
  0.2663  0.3168  0.3381  0.3456  0.3492  0.3627  0.3759  0.3773  0.3652  0.3412
  0.3083  0.2690  0.2248  0.1770
 -0.1324 -0.0994 -0.0806 -0.0727 -0.0698 -0.0640 -0.0458 -0.0034  0.0764  0.1809
  0.2691  0.3224  0.3469  0.3551  0.3570  0.3632  0.3729  0.3729  0.3601  0.3357
  0.3022  0.2624  0.2178  0.1695  0.1185  0.0650  0.0086 -0.0519 -0.1129 -0.1721
 -0.0210  0.0115  0.0379  0.0587  0.0726  0.0816  0.0907  0.1084  0.1463  0.2107
  0.2807  0.3312  0.3573  0.3666  0.3674  0.3664  0.3715  0.3697  0.3563  0.3317
  0.2980  0.2576  0.2126  0.1638  0.1121  0.0584  0.0022 -0.0570 -0.1191 -0.1817
 -0.2424
  0.0552  0.1180  0.1600  0.1841  0.1975  0.2068  0.2156  0.2238  0.2360  0.2641
  0.3070  0.3467  0.3710  0.3803  0.3805  0.3728  0.3721  0.3681  0.3536  0.3290
  0.2952  0.2545  0.2091  0.1599  0.1076  0.0528 -0.0041 -0.0627 -0.1233 -0.1867
 -0.2508
  0.0854  0.1585  0.2224  0.2707  0.3035  0.3242  0.3364  0.3406  0.3420  0.3465
  0.3584  0.3768  0.3917  0.3979  0.3965  0.3825  0.3755  0.3684  0.3525  0.3272
  0.2933  0.2524  0.2064  0.1567  0.1039  0.0483 -0.0093 -0.0686 -0.1293 -0.1918
 -0.2562
  0.0926  0.1765  0.2477  0.3070  0.3537  0.3879  0.4115  0.4260  0.4336  0.4365
  0.4365  0.4352  0.4329  0.4277  0.4197  0.3962  0.3818  0.3711  0.3535  0.3275
  0.2935  0.2526  0.2063  0.1563  0.1030  0.0470 -0.0113 -0.0711 -0.1321 -0.1944
 -0.2578
  0.1001  0.1877  0.2627  0.3261  0.3781  0.4191  0.4496  0.4709  0.4844  0.4913
  0.4922  0.4884  0.4813  0.4709  0.4574  0.4188  0.3919  0.3763  0.3568  0.3297
  0.2954  0.2545  0.2081  0.1577  0.1041  0.0476 -0.0114 -0.0719 -0.1334 -0.1957
 -0.2556
  0.1084  0.1964  0.2742  0.3398  0.3940  0.4373  0.4706  0.4947  0.5105  0.5192
  0.5218  0.5191  0.5123  0.5022  0.5096  0.4503  0.4058  0.3840  0.3624
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  z      sdss    
 -1.0897 -1.1549 -1.1333 -1.0408 -0.8924 -0.7006 -0.4758 -0.2270  0.0199  0.1926
  0.2893  0.3316  0.3498  0.3604  0.3701  0.3955  0.4150  0.4220  0.4153
 -0.8908 -0.9517 -1.0277 -1.0746 -1.0491 -0.9162 -0.6483 -0.2820 -0.0094  0.1782
  0.2826  0.3290  0.3479  0.3571  0.3649  0.3872  0.4048  0.4100  0.4026  0.3838
 -0.6881 -0.7389 -0.7866 -0.8184 -0.8172 -0.7577 -0.6026 -0.3236 -0.0427  0.1574
  0.2738  0.3282  0.3500  0.3587  0.3644  0.3823  0.3980  0.4020  0.3927  0.3719
  0.3415
 -0.4985 -0.5331 -0.5715 -0.6027 -0.6130 -0.5847 -0.4942 -0.3125 -0.0689  0.1339
  0.2620  0.3271  0.3540  0.3635  0.3674  0.3796  0.3930  0.3959  0.3856  0.3635
  0.3319  0.2935
 -0.3343 -0.3490 -0.3704 -0.3951 -0.4104 -0.4031 -0.3568 -0.2499 -0.0735  0.1143
  0.2488  0.3245  0.3584  0.3703  0.3733  0.3791  0.3892  0.3908  0.3800  0.3572
  0.3249  0.2857  0.2417  0.1938
 -0.2123 -0.1920 -0.1948 -0.2062 -0.2185 -0.2215 -0.2030 -0.1484 -0.0404  0.1076
  0.2380  0.3210  0.3623  0.3780  0.3814  0.3809  0.3866  0.3867  0.3753  0.3524
  0.3196  0.2799  0.2353  0.1870  0.1359  0.0820  0.0246 -0.0372 -0.0989 -0.1595
 -0.0991 -0.0717 -0.0552 -0.0483 -0.0488 -0.0510 -0.0461 -0.0232  0.0312  0.1262
  0.2357  0.3189  0.3661  0.3863  0.3911  0.3856  0.3856  0.3836  0.3715  0.3485
  0.3158  0.2756  0.2306  0.1819  0.1304  0.0766  0.0199 -0.0405 -0.1042 -0.1679
 -0.2299
  0.0187  0.0550  0.0717  0.0804  0.0881  0.0948  0.1006  0.1092  0.1308  0.1781
  0.2510  0.3227  0.3712  0.3951  0.4021  0.3933  0.3869  0.3819  0.3686  0.3456
  0.3131  0.2729  0.2276  0.1785  0.1266  0.0721  0.0150 -0.0442 -0.1065 -0.1718
 -0.2371
  0.0632  0.1298  0.1794  0.2102  0.2254  0.2310  0.2336  0.2382  0.2442  0.2603
  0.2944  0.3416  0.3824  0.4061  0.4145  0.4039  0.3910  0.3821  0.3672  0.3434
  0.3110  0.2708  0.2251  0.1758  0.1235  0.0686  0.0110 -0.0489 -0.1108 -0.1748
 -0.2412
  0.0802  0.1565  0.2214  0.2732  0.3108  0.3352  0.3502  0.3594  0.3644  0.3673
  0.3724  0.3877  0.4081  0.4237  0.4301  0.4173  0.3983  0.3848  0.3677  0.3431
  0.3106  0.2708  0.2251  0.1756  0.1231  0.0680  0.0102 -0.0498 -0.1118 -0.1760
 -0.2421
  0.0911  0.1718  0.2421  0.3018  0.3505  0.3879  0.4146  0.4329  0.4455  0.4533
  0.4570  0.4585  0.4608  0.4618  0.4589  0.4352  0.4089  0.3901  0.3705  0.3445
  0.3116  0.2721  0.2267  0.1770  0.1243  0.0690  0.0109 -0.0494 -0.1114 -0.1750
 -0.2397
  0.0979  0.1822  0.2562  0.3195  0.3725  0.4155  0.4487  0.4730  0.4896  0.5003
  0.5063  0.5082  0.5065  0.5022  0.5009  0.4576  0.4228  0.3980  0.3756
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value =  z      sdss    
 -1.1707 -1.2596 -1.1618 -0.9592 -0.6928 -0.4465 -0.2704 -0.2552 -0.0113  0.1780
  0.2976  0.3541  0.3770  0.3876  0.3942  0.4124  0.4274  0.4326  0.4266
 -0.9819 -1.0694 -1.1395 -1.2522 -1.2086 -1.0241 -0.7119 -0.3323 -0.0551  0.1546
  0.2855  0.3489  0.3744  0.3844  0.3900  0.4050  0.4190  0.4229  0.4151  0.3966
 -0.7787 -0.8558 -0.9226 -0.9747 -0.9911 -0.9413 -0.7671 -0.4116 -0.1031  0.1225
  0.2688  0.3436  0.3750  0.3861  0.3904  0.4009  0.4133  0.4165  0.4075  0.3872
  0.3575
 -0.5800 -0.6405 -0.7022 -0.7542 -0.7820 -0.7645 -0.6688 -0.4486 -0.1538  0.0866
  0.2476  0.3361  0.3761  0.3903  0.3942  0.3992  0.4089  0.4114  0.4019  0.3807
  0.3498  0.3114
 -0.4019 -0.4419 -0.4898 -0.5362 -0.5692 -0.5734 -0.5279 -0.4026 -0.1807  0.0498
  0.2225  0.3256  0.3760  0.3956  0.4004  0.4000  0.4055  0.4069  0.3971  0.3757
  0.3441  0.3050  0.2605  0.2122
 -0.2547 -0.2692 -0.2969 -0.3308 -0.3616 -0.3772 -0.3630 -0.3002 -0.1646  0.0274
  0.1972  0.3122  0.3738  0.4004  0.4080  0.4033  0.4033  0.4028  0.3927  0.3714
  0.3397  0.3001  0.2552  0.2064  0.1547  0.1002  0.0419 -0.0208 -0.0831 -0.1451
 -0.1423 -0.1322 -0.1356 -0.1501 -0.1699 -0.1866 -0.1891 -0.1643 -0.0953  0.0317
  0.1809  0.2981  0.3697  0.4043  0.4160  0.4095  0.4031  0.3997  0.3888  0.3676
  0.3362  0.2965  0.2512  0.2021  0.1501  0.0957  0.0383 -0.0227 -0.0876 -0.1520
 -0.2156
 -0.0239 -0.0145 -0.0087 -0.0065 -0.0088 -0.0154 -0.0204 -0.0150  0.0131  0.0786
  0.1837  0.2895  0.3655  0.4071  0.4239  0.4183  0.4054  0.3980  0.3856  0.3643
  0.3334  0.2941  0.2486  0.1993  0.1471  0.0925  0.0352 -0.0248 -0.0881 -0.1549
 -0.2213
  0.0564  0.1042  0.1304  0.1368  0.1325  0.1276  0.1270  0.1309  0.1397  0.1659
  0.2206  0.2974  0.3668  0.4112  0.4320  0.4292  0.4107  0.3983  0.3837  0.3617
  0.3309  0.2919  0.2466  0.1970  0.1447  0.0899  0.0324 -0.0276 -0.0903 -0.1558
 -0.2241
  0.0807  0.1467  0.2004  0.2384  0.2607  0.2692  0.2699  0.2682  0.2690  0.2757
  0.2931  0.3305  0.3788  0.4182  0.4407  0.4419  0.4192  0.4012  0.3838  0.3605
  0.3298  0.2914  0.2466  0.1971  0.1448  0.0901  0.0327 -0.0272 -0.0897 -0.1544
 -0.2213
  0.0947  0.1664  0.2294  0.2823  0.3236  0.3523  0.3700  0.3804  0.3868  0.3914
  0.3957  0.4032  0.4203  0.4416  0.4572  0.4565  0.4305  0.4070  0.3861  0.3612
  0.3299  0.2919  0.2476  0.1985  0.1461  0.0914  0.0341 -0.0256 -0.0877 -0.1520
 -0.2181
  0.1042  0.1804  0.2475  0.3057  0.3546  0.3939  0.4232  0.4437  0.4574  0.4669
  0.4739  0.4787  0.4827  0.4872  0.4815  0.4730  0.4446  0.4157  0.3906
